enumeration_category,enumeration_name,value,v1_2,v2_1,v3_0
Adjustment Type,Decrement,00000002,N,Y,Y
Adjustment Type,Extensions,8XXXXXXX,N,Y,Y
Adjustment Type,Increment,00000001,N,Y,Y
Adjustment Type,Negate,00000003,N,Y,Y
Alternative Name Type,DNS Name,00000005,Y,Y,Y
Alternative Name Type,Email Address,00000004,Y,Y,Y
Alternative Name Type,Extensions,8XXXXXXX,Y,Y,Y
Alternative Name Type,IP Address,00000007,Y,Y,Y
Alternative Name Type,Object Serial Number,00000003,Y,Y,Y
Alternative Name Type,Uninterpreted Text String,00000001,Y,Y,Y
Alternative Name Type,URI,00000002,Y,Y,Y
Alternative Name Type,X.500 Distinguished Name,00000006,Y,Y,Y
Asynchronous Indicator,Extensions,8XXXXXXX,N,Y,Y
Asynchronous Indicator,Mandatory,00000001,N,Y,Y
Asynchronous Indicator,Optional,00000002,N,Y,Y
Asynchronous Indicator,Prohibited,00000003,N,Y,Y
Attestation Type,Extensions,8XXXXXXX,Y,Y,Y
Attestation Type,SAML Assertion,00000003,Y,Y,Y
Attestation Type,TCG Integrity Report,00000002,Y,Y,Y
Attestation Type,TPM Quote,00000001,Y,Y,Y
Batch Error Continuation Option,Continue,00000001,Y,Y,Y
Batch Error Continuation Option,Extensions,8XXXXXXX,Y,Y,Y
Batch Error Continuation Option,Stop,00000002,Y,Y,Y
Batch Error Continuation Option,Undo,00000003,Y,Y,Y
Block Cipher Mode,AEAD,00000012,N,Y,Y
Block Cipher Mode,AESKeyWrapPadding,0000000C,Y,Y,Y
Block Cipher Mode,CBC,00000001,Y,Y,Y
Block Cipher Mode,CBC-MAC,0000000A,Y,Y,Y
Block Cipher Mode,CCM,00000008,Y,Y,Y
Block Cipher Mode,CFB,00000004,Y,Y,Y
Block Cipher Mode,CMAC,00000007,Y,Y,Y
Block Cipher Mode,CTR,00000006,Y,Y,Y
Block Cipher Mode,ECB,00000002,Y,Y,Y
Block Cipher Mode,Extensions,8XXXXXXX,Y,Y,Y
Block Cipher Mode,GCM,00000009,Y,Y,Y
Block Cipher Mode,NISTKeyWrap,0000000D,Y,Y,Y
Block Cipher Mode,OFB,00000005,Y,Y,Y
Block Cipher Mode,PCBC,00000003,Y,Y,Y
Block Cipher Mode,X9.102 AESKW,0000000E,Y,Y,Y
Block Cipher Mode,X9.102 AKW1,00000010,Y,Y,Y
Block Cipher Mode,X9.102 AKW2,00000011,Y,Y,Y
Block Cipher Mode,X9.102 TDKW,0000000F,Y,Y,Y
Block Cipher Mode,XTS,0000000B,Y,Y,Y
Cancellation Result,Canceled,00000001,Y,Y,Y
Cancellation Result,Completed,00000003,Y,Y,Y
Cancellation Result,Extensions,8XXXXXXX,Y,Y,Y
Cancellation Result,Failed,00000004,Y,Y,Y
Cancellation Result,Unable to Cancel,00000002,Y,Y,Y
Cancellation Result,Unavailable,00000005,Y,Y,Y
Certificate Request Type,(Reserved),00000004,N,Y,Y
Certificate Request Type,CRMF,00000001,Y,Y,Y
Certificate Request Type,Extensions,8XXXXXXX,Y,Y,Y
Certificate Request Type,PEM,00000003,Y,Y,Y
Certificate Request Type,PGP,00000004 (deprecated),Y,N,N
Certificate Request Type,PKCS#10,00000002,Y,Y,Y
Certificate Type,Extensions,8XXXXXXX,Y,Y,Y
Certificate Type,PGP,00000002,N,Y,Y
Certificate Type,PGP,00000002 (deprecated),Y,N,N
Certificate Type,X.509,00000001,Y,Y,Y
Client Registration Method,Client Generated,00000004,N,Y,Y
Client Registration Method,Client Registered,00000005,N,Y,Y
Client Registration Method,Extensions,8XXXXXXX,N,Y,Y
Client Registration Method,Server On-Demand,00000003,N,Y,Y
Client Registration Method,Server Pre-Generated,00000002,N,Y,N
Client Registration Method,ServerPre-Generated,00000002,N,N,Y
Client Registration Method,Unspecified,00000001,N,Y,Y
Credential Type,Attestation,00000003,Y,Y,Y
Credential Type,Certificate,00000008,N,N,Y
Credential Type,Device,00000002,Y,Y,Y
Credential Type,Extensions,8XXXXXXX,Y,Y,Y
Credential Type,Hashed Password,00000005,N,Y,Y
Credential Type,One Time Password,00000004,N,Y,Y
Credential Type,Password,00000007,N,N,Y
Credential Type,Ticket,00000006,N,Y,Y
Credential Type,Username and Password,00000001,Y,Y,Y
Cryptographic Algorithm,3DES,00000002,Y,Y,Y
Cryptographic Algorithm,AES,00000003,Y,Y,Y
Cryptographic Algorithm,ARIA,00000029,N,Y,Y
Cryptographic Algorithm,Blowfish,00000010,Y,Y,Y
Cryptographic Algorithm,Camellia,00000011,Y,Y,Y
Cryptographic Algorithm,CAST5,00000012,Y,Y,Y
Cryptographic Algorithm,ChaCha20,0000001C,N,Y,Y
Cryptographic Algorithm,ChaCha20Poly1305,0000001E,N,Y,Y
Cryptographic Algorithm,DES,00000001,Y,Y,Y
Cryptographic Algorithm,DH,0000000D,Y,Y,Y
Cryptographic Algorithm,DSA,00000005,Y,Y,Y
Cryptographic Algorithm,EC,0000001A,Y,Y,Y
Cryptographic Algorithm,ECDH,0000000E,Y,Y,Y
Cryptographic Algorithm,ECDSA,00000006,Y,Y,Y
Cryptographic Algorithm,ECMQV,0000000F,Y,Y,Y
Cryptographic Algorithm,Ed25519,00000037,N,Y,Y
Cryptographic Algorithm,Ed448,00000038,N,Y,Y
Cryptographic Algorithm,Extensions,8XXXXXXX,Y,Y,Y
Cryptographic Algorithm,GOST 28147-89,00000031,N,Y,Y
Cryptographic Algorithm,GOST R 34.10-2012,0000002E,N,Y,Y
Cryptographic Algorithm,GOST R 34.11-2012,0000002F,N,Y,Y
Cryptographic Algorithm,GOST R 34.13-2015,00000030,N,Y,Y
Cryptographic Algorithm,HMAC-MD5,0000000C,Y,Y,Y
Cryptographic Algorithm,HMAC-SHA1,00000007,Y,Y,Y
Cryptographic Algorithm,HMAC-SHA224,00000008,Y,Y,Y
Cryptographic Algorithm,HMAC-SHA256,00000009,Y,Y,Y
Cryptographic Algorithm,HMAC-SHA3-224,00000023,N,Y,Y
Cryptographic Algorithm,HMAC-SHA3-256,00000024,N,Y,Y
Cryptographic Algorithm,HMAC-SHA3-384,00000025,N,Y,Y
Cryptographic Algorithm,HMAC-SHA3-512,00000026,N,Y,Y
Cryptographic Algorithm,HMAC-SHA384,0000000A,Y,Y,Y
Cryptographic Algorithm,HMAC-SHA512,0000000B,Y,Y,Y
Cryptographic Algorithm,IDEA,00000013,Y,Y,Y
Cryptographic Algorithm,MARS,00000014,Y,Y,Y
Cryptographic Algorithm,McEliece,00000034,N,Y,Y
Cryptographic Algorithm,McEliece-6960119,00000035,N,Y,Y
