enumeration_category,enumeration_name,value
Adjustment Type,Increment,00000001
Adjustment Type,Decrement,00000002
Adjustment Type,Negate,00000003
Adjustment Type,Extensions,8XXXXXXX
Alternative Name Type,Uninterpreted Text String,00000001
Alternative Name Type,URI,00000002
Alternative Name Type,Object Serial Number,00000003
Alternative Name Type,Email Address,00000004
Alternative Name Type,DNS Name,00000005
Alternative Name Type,X.500 Distinguished Name,00000006
Alternative Name Type,IP Address,00000007
Alternative Name Type,Extensions,8XXXXXXX
Asynchronous Indicator,Mandatory,00000001
Asynchronous Indicator,Optional,00000002
Asynchronous Indicator,Prohibited,00000003
Asynchronous Indicator,Extensions,8XXXXXXX
Attestation Type,TPM Quote,00000001
Attestation Type,TCG Integrity Report,00000002
Attestation Type,SAML Assertion,00000003
Attestation Type,Extensions,8XXXXXXX
Batch Error Continuation Option,Continue,00000001
Batch Error Continuation Option,Stop,00000002
Batch Error Continuation Option,Undo,00000003
Batch Error Continuation Option,Extensions,8XXXXXXX
Block Cipher Mode,CBC,00000001
Block Cipher Mode,ECB,00000002
Block Cipher Mode,PCBC,00000003
Block Cipher Mode,CFB,00000004
Block Cipher Mode,OFB,00000005
Block Cipher Mode,CTR,00000006
Block Cipher Mode,CMAC,00000007
Block Cipher Mode,CCM,00000008
Block Cipher Mode,GCM,00000009
Block Cipher Mode,CBC-MAC,0000000A
Block Cipher Mode,XTS,0000000B
Block Cipher Mode,AESKeyWrapPadding,0000000C
Block Cipher Mode,NISTKeyWrap,0000000D
Block Cipher Mode,X9.102 AESKW,0000000E
Block Cipher Mode,X9.102 TDKW,0000000F
Block Cipher Mode,X9.102 AKW1,00000010
Block Cipher Mode,X9.102 AKW2,00000011
Block Cipher Mode,AEAD,00000012
Block Cipher Mode,Extensions,8XXXXXXX
Cancellation Result,Canceled,00000001
Cancellation Result,Unable to Cancel,00000002
Cancellation Result,Completed,00000003
Cancellation Result,Failed,00000004
Cancellation Result,Unavailable,00000005
Cancellation Result,Extensions,8XXXXXXX
Certificate Request Type,CRMF,00000001
